CalculationRule,IndicatorCode,IndicatorUnit,IndicatorName,IndicatorComponentCode,IndicatorComponentName,Value
[4103]=[4101] + [4102],[4103],1000 ha,[Cultivated area (arable land + permanent crops)],[4101] + [4102], [Arable land area]  + [Permanent crops area],1
[4105]=[4104] - [4106],[4105],1000 inhab,[Rural population],[4104] - [4106],[Total population]-[Urban population],1
[4107]=[4104]/([4100]/100),[4107],inhab/km2,[Population density],[4104]/([4100]/100, [Total population]/([Total area of the country]/100,1
[4108]=[4109]+[4110],[4108],1000 inhab,[Population economically active in agriculture],[4109]+[4110],[Male population economically active in agriculture]+[Female population economically active in agriculture],1
[4150]=[4100] * [4155] / 100000,[4150],10^9 m3/year,[Long-term average annual precipitation in volume],[4100] * [4155] / 100000, [Total area of the country]*[Long-term average annual precipitation in depth]/100000,1
[4157]=[4154]+[4155]-[4156],[4157],10^9 m3/year,[Total internal renewable water resources (IRWR)],[4154]+[4155]-[4156],[Groundwater produced internally]+[Surface water produced internally]-[Overlap between surface water and groundwater],1
[4158]=[4157]*1000000/[4104],[4158],m3/inhab/yr,[Total internal renewable water resources per capita],[4157]*1000000/[4104],[Total internal renewable water resources (IRWR)]*1000000/[Total population],1
[4164]=[4160]+[4162]+[4168],[4164],10^9 m3/year,[Surface water: accounted inflow],[4160]+[4162]+[4168],[Surface water: inflow not submitted to treaties]+[Surface water: inflow secured through treaties]+[Surface water: accounted flow of border rivers],1
[4176]=[4160]+[4162]+[4168]-[4174],[4176],10^9 m3/year,[Surface water: total external renewable],[4160]+[4162]+[4168]-[4174],[Surface water: inflow not submitted to treaties]+[Surface water: inflow secured through treaties]+[Surface water: accounted flow of border rivers]-[Surface water: outflow to other countries secured through treaties],1
[4182]=[4176]+[4452],[4182],10^9 m3/year,[Water resources: total external renewable],[4176]+[4452],[Surface water: total external renewable]+[Groundwater: accounted inflow],1
[4185]=[4176]+[4155],[4185],10^9 m3/year,[Total renewable surface water],[4176]+[4155], [Surface water: total external renewable]+[Surface water produced internally],1
[4187]=[4154]+[4452],[4187],10^9 m3/year,[Total renewable groundwater],[4154]+[4452],[Groundwater produced internally]+[Groundwater: accounted inflow],1
[4188]=[4185]+[4187]-[4156],[4188],10^9 m3/year,[Total renewable water resources],[4185]+[4187]-[4156],[Total renewable surface water]+[Total renewable groundwater]-[Overlap between surface water and groundwater],1
[4190]=[4188]*1000000/[4104],[4190],m3/inhab/yr,[Total renewable water resources per capita],[4188]*1000000/[4104],[Total renewable water resources]*1000000/[Total population],1
[4192]=100*([4164]+[4452])/([4164]+[4452]+[4157],[4192],%,[Dependency ratio] ,100*([4164]+[4452])/([4164]+[4452]+[4157],"100*([Surface water: accounted inflow&lang=en"">Surface water: accounted inflow]+[Groundwater: accounted inflow&lang=en"">Groundwater: accounted inflow])/([Surface water: accounted inflow&lang=en"">Surface water: accounted inflow]+[Groundwater: accounted inflow&lang=en"">Groundwater: accounted inflow]+[Total internal renewable water resources (IRWR)]",1
[4509]=[4193]+[4194],[4509],10^9 m3/year,[Exploitable: total renewable surface water] ,[4193]+[4194],[Exploitable: regular renewable surface water]+[Exploitable: irregular renewable surface water],1
[4196]=[4509]+[4195],[4196],10^9 m3/year,[Total exploitable water resources],[4509]+[4195],[Exploitable: total renewable surface water]+[Exploitable: regular renewable groundwater],1
[4253]=[4251]+[4252]+[4250],[4253],10^9 m3/year,[Total water withdrawal] ,[4251]+[4252]+[4250], [Municipal water withdrawal]+[Industrial water withdrawal]+[Agricultural water withdrawal],1
[4254]=[4250]/[4253]*100,[4254],%,[Agricultural water withdrawal as % of total water withdrawal],[4250]/[4253]*100, [Agricultural water withdrawal]/[Total water withdrawal]*100,1
[4255]=[4251]/[4253]*100,[4255],%,[Municipal water withdrawal as % of total withdrawal],[4251]/[4253]*100,[Municipal water withdrawal]/[Total water withdrawal]*100,1
[4256]=[4252]/[4253]*100,[4256],%,[Industrial water withdrawal as % of total water withdrawal],[4252]/[4253]*100,"[Industrial water withdrawal]/[Total water withdrawal]*100
",1
[4257]=[4253]*1000000/[4104],[4257],m3/inhab/yr,[Total water withdrawal per capita] ,[4253]*1000000/[4104], [Total water withdrawal]*1000000/[Total population],1
[4263]=[4253]-[4264]-[4265]-[4451],[4263],10^9 m3/year,[Total freshwater withdrawal (primary and secondary)],[4253]-[4264]-[4265]-[4451],[Total water withdrawal]-[Desalinated water produced]-[Direct use of treated municipal wastewater]-[Direct use of agricultural drainage water],1
[4271]=100*[4260]/[4250],[4271],%,[Agricultural water requirement as % of agricultural water withdrawal],100*[4260]/[4250],"100*[Irrigation water requirement]/[Agricultural water withdrawal]
",1
[4273]=100*[4250]/[4188],[4273],%,[Agricultural water withdrawal as % of total renewable water resources] ,100*[4250]/[4188],100*[Agricultural water withdrawal]/[Total renewable water resources],1
[4275]=100*[4263]/[4188],[4275],%,[MDG 7.5. Freshwater withdrawal as % of total renewable water resources] ,100*[4263]/[4188],100*[Total freshwater withdrawal (primary and secondary)]/[Total renewable water resources],1
[4300]=[4303]+[4304],[4300],1000 ha,[Total cultivated area drained],[4303]+[4304],[Area equipped for irrigation drained]+[Non-irrigated cultivated area drained],1
[4305]=100*[4300]/[4103],[4305],%,[% of total cultivated area drained] ,100*[4300]/[4103],100*[Total cultivated area drained]/[Cultivated area (arable land + permanent crops)],1
[4311]=[4308]+[4309]+[4310],[4311],1000 ha,[Area equipped for full control irrigation: total],[4308]+[4309]+[4310],"[Area equipped for full control irrigation: surface irrigation]+[Area equipped for full control irrigation: sprinkler irrigation]+[Area equipped for full control irrigation: localized irrigation]
",1
[4313]= [4311]+[4312]+[4316],[4313],1000 ha,[Area equipped for irrigation: total] ,[4311]+[4312]+[4316], [Area equipped for full control irrigation: total]+[Area equipped for irrigation: equipped lowland areas]+[Area equipped for irrigation: spate irrigation],1
[4317]= [4313]+[4314]+[4315],[4317],1000 ha,[Total agricultural water managed area],[4313]+[4314]+[4315],[Area equipped for irrigation: total]+[Flood recession cropping area non-equipped]+[Cultivated wetlands and inland valley bottoms non-equipped],1
[4319]=100*[4313]/[4317],[4319],%,[% of agricultural water managed area equipped for irrigation],100*[4313]/[4317],100*[Area equipped for irrigation: total]/[Total agricultural water managed area],1
[4323]=100*[4320]/[4313],[4323],%,[% of area equipped for irrigation by groundwater ] ,100*[4320]/[4313],100*[Area equipped for irrigation by groundwater]/[Area equipped for irrigation: total],1
[4324]=100*[4321]/[4313],[4324],%,[% of area equipped for irrigation by surface water] ,100*[4321]/[4313],100*[Area equipped for irrigation by surface water]/[Area equipped for irrigation: total],1
[4325]=100*[4322]/[4313],[4325],%,[% of area equipped for irrigation by mixed surface water and groundwater] ,100*[4322]/[4313],100*[Area equipped for irrigation by mixed surface water and groundwater]/[Area equipped for irrigation: total],1
[4327]=100*[4326]/[4313],[4327],%,[% of area equipped for irrigation power irrigated],100*[4326]/[4313],100*[Area equipped for power irrigation (surface water or groundwater)]/[Area equipped for irrigation: total],1
[4328]=100*[4318]/[4313],[4328],%,[% of the area equipped for irrigation actually irrigated] ,100*[4318]/[4313], 100*[Area equipped for irrigation: actually irrigated]/[Area equipped for irrigation: total],1
[4330]=100*[4313]/[4307],[4330],%,[% of irrigation potential equipped for irrigation] ,100*[4313]/[4307],100*[Area equipped for irrigation: total]/[Irrigation potential],1
[4331]=100*[4313]/[4103],[4331],%,[% of the cultivated area equipped for irrigation] ,100*[4313]/[4103],100*[Area equipped for irrigation: total]/[Cultivated area (arable land + permanent crops)],1
[4445]=100*[4400]/[4313],[4445],%,[% of area equipped for irrigation salinized],100*[4400]/[4313],"100*[Area salinized by irrigation]/[Area equipped for irrigation: total]
",1
[4446]=100*[4303]/[4313],[4446],%,[% of area equipped for irrigation drained],100*[4303]/[4313],100*[Area equipped for irrigation drained]/[Area equipped for irrigation: total],1
[4448]=[4314]+[4315],[4448],1000 ha,[Other agricultural water managed area] ,[4314]+[4315],[Flood recession cropping area non-equipped]+[Cultivated wetlands and inland valley bottoms non-equipped],1
[4450]=100*[4263]/[4157],[4450],%,[Freshwater withdrawal as % of internal renewable water resources] ,100*[4263]/[4157],100*[Total freshwater withdrawal (primary and secondary)]/[Total internal renewable water resources (IRWR)],1
[4455]=100*[4454]/[4101],[4455],%,[Conservation agriculture area as % of arable land area],100*[4454]/[4101],"100*[Conservation agriculture area]/[Arable land area]
",1
[4457]=[4251]*1000000/[4104],[4457],m3/inhab/yr,[Municipal water withdrawal per capita (total population)],[4251]*1000000/[4104],[Municipal water withdrawal]*1000000/[Total population],1
[4458]=[4112]/[4104]/1000,[4458],,[GDP per Capita],[4112]/[4104]/1000,[Gross Domestic Product (GDP)]/[Total population]/1000,1
[4459]=[4309]+[4310],[4459],1000 ha,[Area equipped for full control irrigation: pressurized (sprinkler + localized)],[4309]+[4310],[Area equipped for full control irrigation: sprinkler irrigation]+[Area equipped for full control irrigation: localized irrigation],1
[4462]=100*[4379]/[4461],[4462],%,[Harvested irrigated crop area as % of the full control irrigation area actually irrigated],100*[4379]/[4461],100*[Total harvested irrigated crop area (full control irrigation)]/[Area equipped for full control irrigation: actually irrigated],1
[4463]=100*[4461]/[4311],[4463],%,[% of area equipped for full control irrigation actually irrigated],100*[4461]/[4311],100*[Area equipped for full control irrigation: actually irrigated]/[Area equipped for full control irrigation: total],1
[4464]=100*[4379]/[4461],[4464],%,[Irrigated cropping intensity],100*[4379]/[4461],100*[Total harvested irrigated crop area (full control irrigation)]/[Area equipped for full control irrigation: actually irrigated],1
[4466]=100*[4465]/[4313],[4466],%,[% of area equipped by direct use of treated municipal wastewater],100*[4465]/[4313],100*[Area equipped by direct use of treated municipal wastewater]/[Area equipped for irrigation: total],1
[4467]=100*[4263]/[4253],[4467],%,[Freshwater withdrawal as % of total water withdrawal,100*[4263]/[4253],100*[Total freshwater withdrawal (primary and secondary)]/[Total water withdrawal],1
[4468]=[4251]*1000000/[4106],[4468],m3/inhab/yr,[Municipal water withdrawal per capita (urban population)],[4251]*1000000/[4106],[Municipal water withdrawal]*1000000/[Urban population],1
[4470]=100*[4103]/[4100],[4470],%,[% of total country area cultivated],100*[4103]/[4100],100*[Cultivated area (arable land + permanent crops)]/[Total area of the country],1
[4471]=1000000*[4197]/[4104],[4471],m3/inhab/yr,[Dam capacity per capita],1000000*[4197]/[4104],1000000*[Total dam capacity]/[Total population],1
[4514]=100*[4513]/[4313],[4514],%,[% of area equipped for irrigation by direct use of non-treated municipal wastewater],100*[4513]/[4313],100*[Area equipped for irrigation by direct use of non-treated municipal wastewater]/[Area equipped for irrigation: total],1
[4527]=100*[4526]/[4313],[4527],%,[% of area equipped for irrigation by direct use of agricultural drainage water],100*[4526]/[4313],100*[Area equipped for irrigation by direct use of agricultural drainage water]/[Area equipped for irrigation: total],1
[4531]= [4252]*1000000/[4104],[4531],m3/inhab/yr,[Industrial water withdrawal per capita], [4252]*1000000/[4104],[Industrial water withdrawal]*1000000/[Total population],1
[4532]=[4250]*1000000/[4104],[4532],m3/inhab/yr,[Agricultural water withdrawal per capita],[4250]*1000000/[4104],[Agricultural water withdrawal]*1000000/[Total population],1
[4538]=100*[4108]/[4449],[4538],%,[% of economically active population active in agriculture],100*[4108]/[4449],100*[Population economically active in agriculture]/[Population economically active],1
[4540]=100*[4539]/[4313],[4540],%,[% of area equipped for irrigation by desalinated water],100*[4539]/[4313],100*[Area equipped for irrigation by desalinated water]/[Area equipped for irrigation: total],1
[4550]=100*[4263]/([4188]-[4549]),[4550],?,[SDG 6.4.2. Water Stress],100*[4263]/([4188]-[4549]),100*[Total freshwater withdrawal (primary and secondary)]/([Total renewable water resources]-[Environmental Flow Requirements],1
[4551]=([4552]*[4254])+([4553]*[4256])+([4554]*[4255]),[4551],?,[SDG 6.4.1. Water Use Efficiency],([4552]*[4254])+([4553]*[4256])+([4554]*[4255]),([SDG 6.4.1. Irrigated Agriculture Water Use Efficiency]*[cultural water withdrawal as % of total water withdrawal]) + ([SDG 6.4.1. Industrial Water Use Efficiency]*[Industrial water withdrawal as % of total water withdrawal]) + ([Pending]*[Municipal water withdrawal as % of total withdrawal]),1
[4552]= (([4548]*[4555]/100)/[4250])/1000000000,[4552],?,[SDG 6.4.1. Irrigated Agriculture Water Use Efficiency], (([4548]*[4555]/100)/[4250])/1000000000,"(([Agriculture, value added to GDP]*[% of agricultural GVA produced by irrigated agriculture]/100)/[Agricultural water withdrawal])/1000000000",1
[4553]=([4546]/[4252])/1000000000,[4553],?,[SDG 6.4.1. Industrial Water Use Efficiency],([4546]/[4252])/1000000000,"([Industry, value added to GDP]/[Industrial water withdrawal])/1000000000",1
[4554]= ([4547]/[4251])/1000000000,[4554],?,[SDG 6.4.1. Services Water Use Efficiency],([4547]/[4251])/1000000000,"([Industry, value added to GDP]/[Municipal water withdrawal])/1000000000",1
[4555]=1/(1+((1-([4556]/100))/(([4556]/100)*[4557]))),[4555],%,[% of agricultural GVA produced by irrigated agriculture],1/(1+((1-([4556]/100))/(([4556]/100)*[4557]))),1/(1+((1-([Pending]/100))/(([Pending]/100)*[4557]))),1
[4556]=100*[4379]/[4101],[4556],%,[% of arable land irrigated],100*[4379]/[4101],100*[Total harvested irrigated crop area (full control irrigation)]/[Arable land area],1
